X	Y
458	1807.903
459	1782.211
460	1782.040
461	1760.620
462	1799.297
463	1794.592
464	1778.589
465	1784.406
466	1787.809
467	1784.622
468	1775.905
469	1766.551
470	1766.545
471	1743.633
472	1735.330
473	1750.593
474	1767.005
475	1766.433
476	1781.202
477	1782.941
478	1762.170
479	1767.260
480	1762.904
481	1751.273
482	1749.299
483	1771.021
484	1765.364
485	1772.350
486	1756.076
487	1762.890
488	1768.366
489	1764.768
490	1755.198
491	1738.253
492	1750.178
493	1754.343
494	1775.679
495	1735.912
496	1736.632
497	1746.879
498	1754.630
499	1749.534
500	1747.362
501	1744.844
502	1760.591
503	1741.826
504	1749.936
505	1759.235
506	1739.610
507	1744.419
508	1731.779
509	1746.853
510	1739.765
511	1748.412
512	1733.991
513	1749.838
514	1748.510
515	1724.990
516	1728.744
517	1739.860
518	1738.709
519	1750.691
520	1755.785
521	1737.124
522	1729.084
523	1746.206
524	1738.016
525	1753.755
526	1739.583
527	1746.144
528	1728.130
529	1754.058
530	1739.260
531	1732.811
532	1728.054
533	1750.493
534	1748.858
535	1721.909
536	1744.989
537	1733.511
538	1739.819
539	1748.249
540	1733.815
541	1727.853
542	1730.268
543	1746.832
544	1738.283
545	1744.753
546	1758.403
547	1738.089
548	1747.921
549	1730.097
550	1738.512
551	1737.199
552	1734.340
553	1725.445
554	1753.722
555	1732.278
556	1742.328
557	1758.080
558	1757.109
559	1753.259
560	1742.366
561	1739.536
562	1740.233
563	1714.556
564	1740.095
565	1731.209
566	1723.822
567	1733.638
568	1732.988
569	1722.978
570	1740.762
571	1725.542
572	1748.424
573	1725.699
574	1711.884
575	1723.517
576	1738.808
577	1728.793
578	1730.046
579	1712.310
580	0.000
