X	Y
1	2440.336
2	2406.106
3	2369.471
4	2401.439
5	2339.868
6	2371.588
7	2338.675
8	2369.146
9	2394.547
10	2415.772
11	2376.124
12	2374.108
13	2386.249
14	2399.168
15	2499.221
16	2418.711
17	2471.287
18	2473.669
19	2452.400
20	2496.829
21	2522.227
22	2471.607
23	2437.718
24	2455.345
25	2490.125
26	2450.754
27	2470.409
28	2477.507
29	2463.881
30	2562.629
31	2523.410
32	2539.183
33	2494.617
34	2551.407
35	2530.906
36	2579.702
37	2577.448
38	2579.841
39	2569.915
40	2541.973
41	2563.538
42	2518.093
43	2493.470
44	2459.125
45	2462.627
46	2446.907
47	2423.932
48	2454.458
49	2441.299
50	2509.521
51	2441.926
52	2466.806
53	2393.079
54	2357.628
55	2397.747
56	2394.015
57	2370.726
58	2381.516
59	2315.115
60	2315.637
61	2323.852
62	2257.819
63	2296.231
64	2302.535
65	2304.519
66	2333.232
67	2253.490
68	2206.146
69	2272.814
70	2207.493
71	2222.064
72	2205.624
73	2264.269
74	2248.001
75	2238.792
76	2256.929
77	2211.960
78	2274.791
79	2313.005
80	2344.558
81	2364.429
82	2316.673
83	2296.187
84	2243.691
85	2307.758
86	2314.936
87	2295.384
88	2266.907
89	2246.246
90	2264.173
91	2230.867
92	2183.824
93	2202.290
94	2307.829
95	2277.580
96	2293.201
97	2269.200
98	2278.499
99	2209.999
100	2168.126
101	2214.735
102	2141.303
103	2165.214
104	2160.361
105	2102.011
106	2070.924
107	2071.093
108	2069.787
109	2022.763
110	1995.319
111	1980.332
112	2027.143
113	2016.467
114	1997.800
115	2012.391
116	1990.660
117	1958.122
118	1937.490
119	1954.589
120	1916.446
121	1963.353
122	1938.032
123	1912.043
124	1905.773
125	1895.703
126	1865.781
127	1869.608
128	1883.737
129	1875.147
130	1887.207
131	1874.417
132	1874.022
133	1896.082
134	1908.845
135	1888.181
136	1940.393
137	1898.136
138	1860.937
139	1891.781
140	1890.517
141	1879.970
142	67.400
143	53.597
144	159.760
145	16.498
146	21.449
147	22.281
148	25.516
149	288.464
150	1947.042
151	2062.654
152	2024.892
153	2098.067
154	2206.129
155	2289.890
156	2266.940
157	2282.073
158	2380.072
159	2449.470
160	2412.575
161	2537.759
162	2667.377
163	2671.364
164	2846.462
165	2904.074
166	3041.560
167	3251.242
168	3263.573
169	3396.792
170	3504.540
171	3657.386
172	3625.575
173	3745.419
174	3873.831
175	3979.819
176	4021.618
177	3954.758
178	4180.005
179	4037.188
180	4228.008
181	4430.718
182	4589.434
183	4808.026
184	4795.000
185	4944.209
186	4913.095
187	4824.959
188	4885.907
189	5144.749
190	5128.231
191	5134.192
192	5244.627
193	5290.716
194	5321.592
195	5248.357
196	5019.049
197	5357.706
198	5503.397
199	5469.333
200	5560.931
201	5507.874
202	5389.619
203	5589.638
204	5777.798
205	5655.160
206	5678.805
207	5614.058
208	5603.744
209	5371.570
210	5600.271
211	5330.230
212	5601.542
213	5489.062
214	5583.744
215	5584.803
216	5630.274
217	5619.419
218	5588.082
219	5499.527
220	5747.184
221	5452.655
222	5657.542
223	5752.603
224	5752.323
225	5660.024
226	5490.954
227	5509.802
228	5592.737
229	5619.352
230	5502.873
231	5603.022
232	5539.254
233	5559.870
234	5446.901
235	5489.157
236	5404.456
237	5372.173
238	5435.419
239	5353.370
240	5427.570
241	5238.630
242	5409.426
243	5322.021
244	5170.198
245	5335.637
246	4887.312
247	5179.368
248	5200.560
249	5152.032
250	5134.713
251	5121.117
252	5082.822
253	5075.515
254	5105.805
255	4971.891
256	4943.639
257	4852.357
258	4870.043
259	4941.763
260	4896.679
261	4813.917
262	4817.801
263	4748.241
264	4574.200
265	4584.349
266	4672.000
267	4555.688
268	4500.197
269	4505.664
270	4561.884
271	4440.421
272	4428.736
273	4397.678
274	4375.755
275	4446.568
276	4508.248
277	4409.923
278	4447.986
279	4436.104
280	4298.523
281	4276.213
282	4276.126
283	4276.087
284	4175.648
285	4185.392
286	4230.047
287	4225.510
288	4194.593
289	4267.200
290	4246.699
291	4249.429
292	4094.948
293	4277.631
294	4157.904
295	4155.370
296	4120.817
297	4064.788
298	4137.558
299	4070.801
300	4038.929
301	4008.566
302	3991.210
303	3974.234
304	3946.336
305	3891.582
306	3898.171
307	3901.470
308	3814.147
309	3771.192
310	3769.618
311	3746.245
312	3625.666
313	3588.980
314	3689.311
315	3677.897
316	3551.959
317	3561.486
318	3629.565
319	3523.701
320	3435.032
321	3482.897
322	3520.363
323	3479.893
324	3516.668
325	3465.366
326	3490.720
327	3403.951
328	3371.285
329	3421.162
330	3392.276
331	3360.906
332	3322.301
333	3304.996
334	3435.441
335	3360.703
336	3460.355
337	3404.931
338	3445.293
339	3553.645
340	3430.674
341	3387.993
342	3416.727
343	3415.004
344	3379.401
345	3355.129
346	3365.074
347	3288.082
348	3323.694
349	3339.891
350	3320.817
351	3342.980
352	3274.597
353	3260.529
354	3292.380
355	3311.469
356	3266.682
357	3174.919
358	3225.519
359	3188.798
360	3130.670
361	3101.481
362	3090.528
363	3045.957
364	3107.358
365	3113.868
366	3126.467
367	3136.001
368	3018.030
369	3076.465
370	3054.727
371	3064.089
372	2979.973
373	2990.629
374	3173.586
375	2975.571
376	2966.366
377	3017.462
378	2981.278
379	2908.278
380	2877.914
381	2895.480
382	2858.198
383	2846.000
384	2853.399
385	2878.663
386	2852.564
387	2770.209
388	2899.131
389	2864.596
390	2761.930
391	2822.760
392	2864.231
393	2813.094
394	2854.095
395	2861.165
396	2856.593
397	2851.661
398	2875.668
399	2850.477
400	2849.784
401	3000.164
402	2841.804
403	2866.677
404	2880.115
405	2868.835
406	2846.570
407	2816.495
408	2796.917
409	2886.304
410	2831.508
411	2838.021
412	2811.037
413	2873.280
414	2959.911
415	2962.022
416	2999.491
417	2944.373
418	2899.694
419	2873.012
420	2887.728
421	2840.149
422	2957.637
423	2990.950
424	2871.656
425	2930.394
426	2893.765
427	2901.926
428	2937.117
429	2941.207
430	2578.462
431	2647.885
432	2511.800
433	6.721
434	2465.642
435	2485.140
436	2519.254
437	2535.777
438	2609.290
439	2736.255
440	2680.682
441	2672.541
442	2636.241
443	2590.992
444	2571.238
445	2466.240
446	2483.486
447	2447.336
448	2391.530
449	2355.287
450	2352.772
451	2288.062
452	2294.467
453	2286.191
454	2298.831
455	2208.188
456	2225.120
457	2237.557
458	2144.483
459	2179.043
460	2146.637
461	2125.995
462	2043.647
463	2029.713
464	2021.916
465	2029.924
466	2003.992
467	2023.732
