Cells
cPRC1_l
cPRC2_l
cPRC1_r
cPRC2_r
NOS1_r
NOS1_l
cPRC2cilia_r
NOS2_r
NOS2_l
CrescCell
MC
MNv3_l
SNd1_unp
SNastc_r
Snastc_l
SNMIP1_r
cPRCcilia_l
MNv2_l
tissue
SN1_r
IN1_r
Ser-h_l
