##Figure1-SourceData5. Swimming metrics of 1-day-old-larvae subjected to randomized step increases in pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial_ID,Time,Frame,RelTime,Pressure_Level,Genotype,StimulusDuration,Type_Experiment,Category_pressure,Basal_pressure,Bins,File_name,Avg_Speed,Avg_Y_displacement,Avg_Y_displacement_Up,Avg_Y_displacement_Down,Avg_Y_movement,Num_Tracks_Up,Num_Tracks_Down,Tortuosity,Straightness_X,Straightness_Y,PressVal,ParticleCount,PartPc,Corr_Avg_Speed,Corr_Avg_Y_displacement,Corr_Avg_Y_displacement_Up,Corr_Avg_Y_displacement_Down,Corr_Avg_Y_movement,Corr_Num_Tracks_Up,Corr_Num_Tracks_Down
131220_E001,19,19,9,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_118.res,2.679943843,-0.188224199,0.611497677,-0.755768757,-0.188224199,66,93,0.407028186,-0.016913224,0.019027969,NA,NA,NA,0.451402703,-0.00569272,0.07499987,-0.109263646,-0.00569272,26.7,31.7
131220_E001,20,20,10,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_119.res,2.776865887,-0.179601247,0.496283274,-0.759980347,-0.179601247,79,92,0.385593095,-0.014661889,-0.008186966,NA,NA,NA,0.548324747,0.002930232,-0.040214534,-0.113475236,0.002930232,39.7,30.7
131220_E001,21,21,11,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_120.res,2.824990379,-0.341380594,0.52130664,-0.840497416,-0.341380594,75,131,0.391822714,0.00121317,-0.03229816,NA,NA,NA,0.59644924,-0.158849115,-0.015191168,-0.193992305,-0.158849115,35.7,69.7
131220_E001,22,22,12,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_121.res,3.080370804,-0.48353095,0.466473661,-0.905464107,-0.48353095,67,152,0.395041532,-0.026359759,-0.066124931,NA,NA,NA,0.851829665,-0.30099947,-0.070024146,-0.258958996,-0.30099947,27.7,90.7
131220_E001,23,23,13,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_122.res,2.594736032,-0.310399091,0.611751737,-0.788873577,-0.310399091,55,106,0.421154568,-0.009958948,-0.003723932,NA,NA,NA,0.366194892,-0.127867612,0.075253929,-0.142368467,-0.127867612,15.7,44.7
131220_E001,24,24,14,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_123.res,2.712848524,-0.309209715,0.5034305,-0.804181482,-0.309209715,67,110,0.403385967,0.004413802,-0.013944347,NA,NA,NA,0.484307384,-0.126678236,-0.033067308,-0.157676371,-0.126678236,27.7,48.7
131220_E001,25,25,15,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_124.res,2.854624052,-0.22393939,0.695329014,-0.736608308,-0.22393939,58,104,0.386240531,-0.040630167,0.014331566,NA,NA,NA,0.626082912,-0.041407911,0.158831207,-0.090103198,-0.041407911,18.7,42.7
131220_E001,26,26,16,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_125.res,2.489236897,-0.252103648,0.515511582,-0.741796145,-0.252103648,59,93,0.412364324,-0.010508034,0.018190136,NA,NA,NA,0.260695757,-0.069572169,-0.020986226,-0.095291034,-0.069572169,19.7,31.7
131220_E001,27,27,17,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_126.res,2.959151875,-0.402004999,0.583863525,-1.005443762,-0.402004999,81,133,0.400739932,0.003445915,-0.017393344,NA,NA,NA,0.730610735,-0.21947352,0.047365718,-0.358938651,-0.21947352,41.7,71.7
131220_E001,28,28,18,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_127.res,2.591066472,-0.242372981,0.626421107,-0.756175936,-0.242372981,55,93,0.42648583,-0.025026542,0.000323205,NA,NA,NA,0.362525332,-0.059841501,0.0899233,-0.109670825,-0.059841501,15.7,31.7
