Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
301022_M1_L1_E002,301022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46,68-94;106-138;150-179;198-216;235-264;284-314;329-354;368-388;453-492;519-548,
301022_M1_L1_E003,301022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46,68-94;106-138;150-179;198-216;235-264;284-314;329-354;368-388;453-492;519-548,
301022_M1_L1_E004,301022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46,68-94;106-138;150-179;198-216;235-264;284-314;329-354;368-388;453-492;519-548,
301022_M1_L1_E005,301022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46,68-94;106-138;150-179;198-216;235-264;284-314;329-354;368-388;453-492;519-548,  
301022_M1_L2_E001-2,301022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-63,37-60;74-104;121-155;167-202;220-247;261-287;306-336;356-390;402-430;449-481;501-539,
301022_M1_L2_E002,301022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-63,37-60;74-104;121-155;167-202;220-247;261-287;306-336;356-390;402-430;449-481;501-539,
301022_M1_L2_E003,301022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-63,37-60;74-104;121-155;167-202;220-247;261-287;306-336;356-390;402-430;449-481;501-539,
301022_M1_L2_E004,301022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-63,37-60;74-104;121-155;167-202;220-247;261-287;306-336;356-390;402-430;449-481;501-539,
301022_M1_L2_E005,301022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-63,37-60;74-104;121-155;167-202;220-247;261-287;306-336;356-390;402-430;449-481;501-539,
301022_M1_L3_E001,301022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,10-49;120-148;160-193;210-242;260-279;294-323;342-365;390-422;490-517,
301022_M1_L3_E002,301022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60,10-49;120-148;160-193;210-242;260-279;294-323;342-365;390-422;490-517,
301022_M1_L3_E003,301022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60,10-49;120-148;160-193;210-242;260-279;294-323;342-365;390-422;490-517,
301022_M1_L3_E004,301022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60,10-49;120-148;160-193;210-242;260-279;294-323;342-365;390-422;490-517,
301022_M1_L3_E005,301022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,10-49;120-148;160-193;210-242;260-279;294-323;342-365;390-422;490-517,
311022_M1_L1_E001,311022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,29-54,16-48;65-86;93-126;136-172;180-208;230-254;280-306;322-341;361-382;500-534,
311022_M1_L1_E002,311022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,29-54,16-48;65-86;93-126;136-172;180-208;230-254;280-306;322-341;361-382;500-534,
311022_M1_L1_E003,311022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,29-54,16-48;65-86;93-126;136-172;180-208;230-254;280-306;322-341;361-382;500-534,
311022_M1_L1_E004,311022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,29-54,16-48;65-86;93-126;136-172;180-208;230-254;280-306;322-341;361-382;500-534,
311022_M1_L1_E005,311022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,29-54,16-48;65-86;93-126;136-172;180-208;230-254;280-306;322-341;361-382;500-534,
311022_M1_L2_E001,311022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,28-60,22-47;59-94;115-139;150-180;315-335;409-432;449-474;499-521,
311022_M1_L2_E002,311022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,28-60,22-47;59-94;115-139;150-180;315-335;409-432;449-474;499-521,
311022_M1_L2_E003,311022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,28-60,22-47;59-94;115-139;150-180;315-335;409-432;449-474;499-521,
311022_M1_L2_E004,311022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,28-60,22-47;59-94;115-139;150-180;315-335;409-432;449-474;499-521,
311022_M1_L2_E005,311022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,28-60,22-47;59-94;115-139;150-180;315-335;409-432;449-474;499-521,
311022_M1_L3_E001,311022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60,101-134;144-176;187-215;234-269;282-316;403-436,
311022_M1_L3_E002,311022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60,101-134;144-176;187-215;234-269;282-316;403-436,
311022_M1_L3_E003,311022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60,101-134;144-176;187-215;234-269;282-316;403-436,
311022_M1_L3_E004,311022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,101-134;144-176;187-215;234-269;282-316;403-436,
311022_M1_L3_E005,311022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,101-134;144-176;187-215;234-269;282-316;403-436,
311022_M1_L4_E001,311022_M1_L4,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,30-60,20-37;124-147;161-180;257-274;296-318;426-445;473-497;501-527,
311022_M1_L4_E002,311022_M1_L4,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60,20-37;124-147;161-180;257-274;296-318;426-445;473-497;501-527,
311022_M1_L4_E003,311022_M1_L4,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,30-60,20-37;124-147;161-180;257-274;296-318;426-445;473-497;501-527,
311022_M1_L4_E004,311022_M1_L4,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,30-60,20-37;124-147;161-180;257-274;296-318;426-445;473-497;501-527,
311022_M1_L4_E005,311022_M1_L4,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60,20-37;124-147;161-180;257-274;296-318;426-445;473-497;501-527,
