Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
211121_M1_L3_E004,211121_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60,20-46;61-102;114-141;160-186;199-220;243-266;292-318;338-371;385-417;436-460;493-518,
211121_M1_L3_E005,211121_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60,20-46;61-102;114-141;160-186;199-220;243-266;292-318;338-371;385-417;436-460;493-518,
020222_M1_L1_E001,020222_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60,4-33;54-84;102-129;152-182;206-232;254-281;300-328;348-376;389-407;440-476;498-515;546-574,
020222_M1_L1_E002,020222_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60,4-33;54-84;102-129;152-182;206-232;254-281;300-328;348-376;389-407;440-476;498-515;546-574,
020222_M1_L1_E003,020222_M1_L1,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60,4-33;54-84;102-129;152-182;206-232;254-281;300-328;348-376;389-407;440-476;498-515;546-574,
020222_M1_L1_E004,020222_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60,4-33;54-84;102-129;152-182;206-232;254-281;300-328;348-376;389-407;440-476;498-515;546-574,
020222_M1_L1_E005,020222_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60,4-33;54-84;102-129;152-182;206-232;254-281;300-328;348-376;389-407;440-476;498-515;546-574,
060222_M1_L2_E001,060222_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,Ser-h-r,WT,200,200,30-65,1-25;35-62;75-102;124-156;173-208;226-255;277-302;322-362;380-416;432-461;482-508;533-563,
060222_M1_L2_E002,060222_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h-r,WT,200,200,30-65,1-25;35-62;75-102;124-156;173-208;226-255;277-302;322-362;380-416;432-461;482-508;533-563,
060222_M1_L2_E003,060222_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h-r,WT,200,200,30-65,1-25;35-62;75-102;124-156;173-208;226-255;277-302;322-362;380-416;432-461;482-508;533-563,
