Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range
231022_M1_L4_E004,231022_M1_L4,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60
231022_M1_L4_E005,231022_M1_L4,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60
301022_M1_L1_E001,301022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46
301022_M1_L1_E002,301022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46
301022_M1_L1_E003,301022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46
301022_M1_L1_E004,301022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46
301022_M1_L1_E005,301022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46
301022_M1_L2_E001-2,301022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-63
301022_M1_L2_E002,301022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-63
301022_M1_L2_E003,301022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-63
301022_M1_L2_E004,301022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-63
301022_M1_L2_E005,301022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-63
301022_M1_L3_E001,301022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
301022_M1_L3_E002,301022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60
301022_M1_L3_E003,301022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60
301022_M1_L3_E004,301022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60
301022_M1_L3_E005,301022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L1_E001,311022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,29-54
311022_M1_L1_E002,311022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,29-54
311022_M1_L1_E003,311022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,29-54
311022_M1_L1_E004,311022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,29-54
311022_M1_L1_E005,311022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,29-54
311022_M1_L2_E001,311022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,28-60
311022_M1_L2_E002,311022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,28-60
311022_M1_L2_E003,311022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,28-60
311022_M1_L2_E004,311022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,28-60
311022_M1_L2_E005,311022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,28-60
311022_M1_L3_E001,311022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L3_E002,311022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L3_E003,311022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L3_E004,311022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L3_E005,311022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
311022_M1_L4_E001,311022_M1_L4,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,30-60
311022_M1_L4_E002,311022_M1_L4,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60
311022_M1_L4_E003,311022_M1_L4,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,30-60
311022_M1_L4_E004,311022_M1_L4,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,30-60
311022_M1_L4_E005,311022_M1_L4,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60
