Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase
100321_E004,100321_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
100321_E005,100321_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
100321_E006,100321_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
100321_E007,100321_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
110321_E001-2,110321_B001,534,Pressure,10,60,60,2,500,WT,32.5,Step,10,10,742.667-80,YES,2.26666666666667
110321_E002,110321_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
110321_E003,110321_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
110321_E004,110321_B001,738,Pressure,10,60,60,2,500,WT,237.5,Step,10,10,742.667-80,YES,15.8666666666667
110321_E005,110321_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
110321_E006,110321_B001,988,Pressure,10,60,60,2,500,WT,488,Step,10,10,742.667-80,YES,32.5333333333333
110321_E007,110321_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
120321_E001-3,120321_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
120321_E002,120321_B001,988,Pressure,10,60,60,2,500,WT,488,Step,10,10,742.667-80,YES,32.5333333333333
120321_E003,120321_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
120321_E004,120321_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
120321_E005,120321_B001,534,Pressure,10,60,60,2,500,WT,32.5,Step,10,10,742.667-80,YES,2.26666666666667
120321_E006,120321_B001,738,Pressure,10,60,60,2,500,WT,237.5,Step,10,10,742.667-80,YES,15.8666666666667
120321_E007,120321_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
180321_E001,180321_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
180321_E002,180321_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
180321_E003-2,180321_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
180321_E004,180321_B001,988,Pressure,10,60,60,2,500,WT,488,Step,10,10,742.667-80,YES,32.5333333333333
180321_E005,180321_B001,534,Pressure,10,60,60,2,500,WT,32.5,Step,10,10,742.667-80,YES,2.26666666666667
180321_E006-2,180321_B001,738,Pressure,10,60,60,2,500,WT,237.5,Step,10,10,742.667-80,YES,15.8666666666667
180321_E007,180321_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
190321_E001,190321_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
190321_E002,190321_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
190321_E003,190321_B001,988,Pressure,10,60,60,2,500,WT,488,Step,10,10,742.667-80,YES,32.5333333333333
190321_E004,190321_B001,534,Pressure,10,60,60,2,500,WT,32.5,Step,10,10,742.667-80,YES,2.26666666666667
190321_E005,190321_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
190321_E006,190321_B001,738,Pressure,10,60,60,2,500,WT,237.5,Step,10,10,742.667-80,YES,15.8666666666667
190321_E007,190321_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
140421_E001,140421_B001,686,Pressure,10,60,60,2,500,WT,187.5,Step,10,10,742.667-80,YES,12.4
140421_E002,140421_B001,738,Pressure,10,60,60,2,500,WT,237.5,Step,10,10,742.667-80,YES,15.8666666666667
140421_E003,140421_B001,534,Pressure,10,60,60,2,500,WT,32.5,Step,10,10,742.667-80,YES,2.26666666666667
140421_E004,140421_B001,642,Pressure,10,60,60,2,500,WT,142.5,Step,10,10,742.667-80,YES,9.46666666666667
140421_E005,140421_B001,988,Pressure,10,60,60,2,500,WT,488,Step,10,10,742.667-80,YES,32.5333333333333
140421_E006,140421_B001,514,Pressure,10,60,60,2,500,WT,12.5,Step,10,10,742.667-80,YES,0.933333333333337
140421_E007,140421_B001,504,Pressure,10,60,60,2,500,WT,0,Step,10,10,742.667-80,YES,0.266666666666666
011020_E001T_1-2,011020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,YES,4.25
011020_E001T_4,011020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,YES,3.25
011020_E001T_5,011020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,YES,2.25
011020_E001T_6,011020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,YES,8.5
