Trial_ID,Pressure_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_pressure ,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted
131220_E001.txt,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
131220_E002.txt,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
131220_E003.txt,160,Pressure,10,60,60,0.625,0,WT,160,Step,10,10,742.667-80,NO
131220_E004.txt,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
131220_E005.txt,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
131220_E006.txt,0,Pressure,10,60,60,0.125,0,WT,0,Step,10,10,742.667-80,NO
131220_E007.txt,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
181220_E017.txt,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
181220_E018.txt,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
181220_E019.txt,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
181220_E020.txt,0,Pressure,10,60,60,0.125,0,WT,0,Step,10,10,742.667-80,NO
181220_E021.txt,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
150121_E001.txt,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
150121_E002.txt,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
150121_E003.txt,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
150121_E004.txt,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
150121_E005.txt,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
150121_E006.txt,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
150121_E007.txt,0,Pressure,10,60,60,0.125,0,WT,0,Step,10,10,742.667-80,NO
230421_E001.txt,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
230421_E002.txt,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
230421_E003.txt,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
230421_E004.txt,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
230421_E005.txt,0,Pressure,10,60,60,0.125,0,WT,0,Step,10,10,742.667-80,NO
230421_E006.txt,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
230421_E007.txt,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
