time	frame	PresV	UV
5781	40	0.47	0
5798	40	0.47	0
5815	41	0.47	0
5831	42	0.47	0
5848	43	0.47	0
5865	44	0.47	0
5881	45	0.48	0
5898	45	0.47	0
5914	46	0.47	0
5932	47	0.47	0
5948	48	0.47	0
5964	49	0.47	0
5981	50	0.47	0
5998	50	0.47	0
6014	51	0.48	0
6031	52	0.47	0
6047	53	0.47	0
6065	54	0.47	0
6081	55	0.47	0
6097	55	0.47	0
6114	56	0.47	0
6131	57	0.48	0
6148	58	0.48	0
6164	59	0.47	0
6180	59	0.47	0
6198	60	0.47	0
6214	61	0.47	0
6231	62	0.47	0
6247	63	0.48	0
6264	64	0.48	0
6281	65	0.47	0
6297	65	0.48	0
6313	66	0.48	0
6331	67	0.48	0
6347	68	0.47	0
6364	69	0.47	0
6380	69	0.48	0
6397	70	0.47	0
6414	71	0.47	0
6430	72	0.47	0
6447	73	0.47	0
6464	74	0.47	0
6480	74	0.48	0
6497	75	0.47	0
6513	76	0.47	0
6531	77	0.47	0
6547	78	0.47	0
6563	79	0.47	0
6580	79	0.48	0
6597	80	0.47	0
6614	81	0.47	0
6630	82	0.47	0
6646	83	0.48	0
6664	84	0.48	0
6680	84	0.48	0
6696	85	0.47	0
6713	86	0.47	0
6730	87	0.48	0
6747	88	0.48	0
6763	89	0.47	0
6779	89	0.47	0
6797	90	0.47	0
6813	91	0.48	0
6830	92	0.48	0
6846	93	0.47	0
6863	94	0.47	0
6880	94	0.47	0
6896	95	0.47	0
6913	96	0.47	0
6930	97	0.48	0
6946	98	0.47	0
6963	99	0.47	0
6979	99	0.47	0
6996	100	0.47	0
7014	101	0.47	0
7031	102	0.47	0
7049	103	0.47	0
7067	104	0.47	0
7085	105	0.47	0
7102	106	0.48	0
7119	106	0.47	0
7138	107	0.47	0
7155	108	0.47	0
7173	109	0.47	0
7191	110	0.47	0
7208	111	0.47	0
7226	112	0.48	0
7243	113	0.47	0
7262	114	0.47	0
7279	114	0.47	0
7297	115	0.48	0
7314	116	0.47	0
7332	117	0.47	0
7350	118	0.47	0
7367	119	0.47	0
7385	120	0.46	0
7403	121	0.47	0
7420	121	0.47	0
7438	122	0.47	0
7456	123	0.47	0
7474	124	0.47	0
7491	125	0.48	0
7508	126	0.47	0
7527	127	0.47	0
7544	128	0.47	0
7562	129	0.47	0
7579	129	0.47	0
7598	130	0.47	0
7615	131	0.47	0
7632	132	0.48	0
7650	133	0.47	0
7668	134	0.47	0
7686	135	0.47	0
7703	136	0.47	0
7721	137	0.47	0
7739	137	0.47	0
7756	138	0.47	0
7774	139	0.47	0
7792	140	0.47	0
7810	141	0.47	0
7827	142	0.47	0
7844	143	0.47	0
7863	144	0.47	0
7880	144	0.47	0
7898	145	0.47	0
7915	146	0.47	0
7933	147	0.47	0
7951	148	0.47	0
7968	149	0.47	0
7986	150	0.47	0
8004	151	0.48	0
8022	152	0.47	0
8039	152	0.47	0
8057	153	0.47	0
8075	154	0.47	0
8092	155	0.47	0
8110	156	0.48	0
8128	157	0.48	0
8145	158	0.47	0
8163	159	0.47	0
8180	159	0.47	0
8199	160	0.47	0
8216	161	0.47	0
8233	162	0.47	0
8251	163	0.47	0
8269	164	0.47	0
8287	165	0.48	0
8304	166	0.47	0
8323	167	0.47	0
8340	167	0.47	0
