Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_208_vertical,30,1433,47.767,2.288,255
WindowROI-011020_E001T_2.avi_lane_208_vertical,15,658,43.867,1.051,255
WindowROI-011020_E001T_2.avi_lane_208_vertical,9,342,38.000,0.546,255
WindowROI-011020_E001T_2.avi_lane_208_vertical,6,268,44.667,0.428,255
WindowROI-011020_E001T_2.avi_lane_208_vertical,0,0,NaN,0.000,NaN
