Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_223_vertical,22,1020,46.364,1.629,255
WindowROI-011020_E001T_2.avi_lane_223_vertical,14,561,40.071,0.896,255
WindowROI-011020_E001T_2.avi_lane_223_vertical,9,355,39.444,0.567,255
WindowROI-011020_E001T_2.avi_lane_223_vertical,6,243,40.500,0.388,255
WindowROI-011020_E001T_2.avi_lane_223_vertical,5,184,36.800,0.294,255
