Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_217_vertical,23,1143,49.696,1.825,255
WindowROI-011020_E001T_2.avi_lane_217_vertical,10,377,37.700,0.602,255
WindowROI-011020_E001T_2.avi_lane_217_vertical,11,489,44.455,0.781,255
WindowROI-011020_E001T_2.avi_lane_217_vertical,3,113,37.667,0.180,255
WindowROI-011020_E001T_2.avi_lane_217_vertical,2,78,39.000,0.125,255
