Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_138_vertical,18,1081,60.056,1.726,255
WindowROI-011020_E001T_2.avi_lane_138_vertical,19,932,49.053,1.488,255
WindowROI-011020_E001T_2.avi_lane_138_vertical,14,530,37.857,0.846,255
WindowROI-011020_E001T_2.avi_lane_138_vertical,15,803,53.533,1.282,255
WindowROI-011020_E001T_2.avi_lane_138_vertical,6,245,40.833,0.391,255
