Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_211_vertical,28,1261,45.036,2.014,255
WindowROI-011020_E001T_2.avi_lane_211_vertical,11,477,43.364,0.762,255
WindowROI-011020_E001T_2.avi_lane_211_vertical,11,519,47.182,0.829,255
WindowROI-011020_E001T_2.avi_lane_211_vertical,4,194,48.500,0.310,255
WindowROI-011020_E001T_2.avi_lane_211_vertical,2,110,55.000,0.176,255
