Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_201_vertical,25,1164,46.560,1.859,255
WindowROI-011020_E001T_2.avi_lane_201_vertical,19,816,42.947,1.303,255
WindowROI-011020_E001T_2.avi_lane_201_vertical,10,405,40.500,0.647,255
WindowROI-011020_E001T_2.avi_lane_201_vertical,2,93,46.500,0.149,255
WindowROI-011020_E001T_2.avi_lane_201_vertical,4,158,39.500,0.252,255
