Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_109_vertical,13,545,41.923,0.870,255
WindowROI-011020_E001T_2.avi_lane_109_vertical,21,983,46.810,1.570,255
WindowROI-011020_E001T_2.avi_lane_109_vertical,16,823,51.438,1.314,255
WindowROI-011020_E001T_2.avi_lane_109_vertical,15,653,43.533,1.043,255
WindowROI-011020_E001T_2.avi_lane_109_vertical,6,296,49.333,0.473,255
