Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_161_vertical,17,905,53.235,1.445,255
WindowROI-011020_E001T_2.avi_lane_161_vertical,13,625,48.077,0.998,255
WindowROI-011020_E001T_2.avi_lane_161_vertical,14,604,43.143,0.964,255
WindowROI-011020_E001T_2.avi_lane_161_vertical,10,378,37.800,0.604,255
WindowROI-011020_E001T_2.avi_lane_161_vertical,0,0,NaN,0.000,NaN
