Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_220_vertical,18,812,45.111,1.297,255
WindowROI-011020_E001T_2.avi_lane_220_vertical,13,500,38.462,0.798,255
WindowROI-011020_E001T_2.avi_lane_220_vertical,9,358,39.778,0.572,255
WindowROI-011020_E001T_2.avi_lane_220_vertical,4,293,73.250,0.468,255
WindowROI-011020_E001T_2.avi_lane_220_vertical,2,97,48.500,0.155,255
