Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_140_vertical,19,932,49.053,1.488,255
WindowROI-011020_E001T_2.avi_lane_140_vertical,25,1148,45.920,1.833,255
WindowROI-011020_E001T_2.avi_lane_140_vertical,16,647,40.438,1.033,255
WindowROI-011020_E001T_2.avi_lane_140_vertical,9,582,64.667,0.929,255
WindowROI-011020_E001T_2.avi_lane_140_vertical,1,39,39.000,0.062,255
