Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_122_vertical,13,561,43.154,0.896,255
WindowROI-011020_E001T_2.avi_lane_122_vertical,18,1104,61.333,1.763,255
WindowROI-011020_E001T_2.avi_lane_122_vertical,16,771,48.188,1.231,255
WindowROI-011020_E001T_2.avi_lane_122_vertical,18,907,50.389,1.448,255
WindowROI-011020_E001T_2.avi_lane_122_vertical,8,511,63.875,0.816,255
