Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_177_vertical,19,1035,54.474,1.653,255
WindowROI-011020_E001T_2.avi_lane_177_vertical,9,404,44.889,0.645,255
WindowROI-011020_E001T_2.avi_lane_177_vertical,7,296,42.286,0.473,255
WindowROI-011020_E001T_2.avi_lane_177_vertical,6,235,39.167,0.375,255
WindowROI-011020_E001T_2.avi_lane_177_vertical,3,136,45.333,0.217,255
