Slice,Count,Total Area,Average Size,%Area,Mean
WindowROI-011020_E001T_2.avi_lane_221_vertical,21,876,41.714,1.399,255
WindowROI-011020_E001T_2.avi_lane_221_vertical,12,497,41.417,0.794,255
WindowROI-011020_E001T_2.avi_lane_221_vertical,7,385,55.000,0.615,255
WindowROI-011020_E001T_2.avi_lane_221_vertical,8,341,42.625,0.545,255
WindowROI-011020_E001T_2.avi_lane_221_vertical,3,134,44.667,0.214,255
